Series_Ticker,Series_Title,Category,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Incorrect_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes,Reliability_Tier
KXAPPRANKFREE2,Free app ranking,Entertainment,40,8,20.00,4,4,50.00,1030.90,LOW (1-19)
KXCPISHELTER,CPI on shelter,Economics,17,2,11.76,1,1,50.00,36950.05,LOW (1-19)
KXAAAGASM,US gas price,Economics,26,6,23.08,3,3,50.00,14739.07,LOW (1-19)
KX538APPROVE,President 538 approval rating this week,Politics,24,2,8.33,1,1,50.00,263.75,LOW (1-19)
KXCFPSEED,College Football Playoff Seed,Sports,11,4,36.36,2,2,50.00,619.45,LOW (1-19)
KXEFLCUPGAME,EFL Cup Game,Sports,16,6,37.50,3,3,50.00,47.88,LOW (1-19)
KXEPLGOAL,EPL Goalscorer,Sports,100,2,2.00,1,1,50.00,138.95,LOW (1-19)
KXNFLPASSYDS,Pro Football player Passing Yards,Sports,23,8,34.78,4,4,50.00,125.85,LOW (1-19)
KXHIGHTDC,Washington DC Daily Max Temp,Climate and Weather,24,2,8.33,1,1,50.00,474.00,LOW (1-19)
KXSNOWNYM,Total snow in NYC,Climate and Weather,18,2,11.11,1,1,50.00,36777.10,LOW (1-19)
KXHIGHNY,Highest temperature in NYC,Climate and Weather,34,2,5.88,1,1,50.00,1142.25,LOW (1-19)
KXTOPMODEL,Top model,Science and Technology,18,8,44.44,4,4,50.00,19027.88,LOW (1-19)
KXLEAVITTMENTIONDURATION,Leavitt Duration,Mentions,10,2,20.00,1,1,50.00,271.95,LOW (1-19)
KXRAINNYCM,Monthly rain in New York,Climate and Weather,24,17,70.83,8,9,47.06,23858.38,LOW (1-19)
KXNFLRECYDS,Pro Football player Receiving Yards,Sports,45,26,57.78,12,14,46.15,270.56,MEDIUM (20-49)
KXATPEXACTMATCH,ATP Exact Match Score,Sports,34,14,41.18,6,8,42.86,182.09,LOW (1-19)
KXHIGHCHI,Highest temperature in Chicago,Climate and Weather,34,7,20.59,3,4,42.86,1485.21,LOW (1-19)
KXLATENIGHTMENTION,Late Night Mention,Mentions,15,12,80.00,5,7,41.67,1078.61,LOW (1-19)
KXBILLBOARDRUNNERUPALBUM,Will Album be runner up this week?,Entertainment,19,5,26.32,2,3,40.00,5371.70,LOW (1-19)
KXNFLPREPACK,MVE NFL Pre Pack,Sports,20,8,40.00,3,5,37.50,63.60,LOW (1-19)
KXSNLMENTION,SNL Mention,Mentions,11,8,72.73,3,5,37.50,2789.53,LOW (1-19)
KXGAS,Gas weekly,Economics,29,6,20.69,2,4,33.33,7150.37,LOW (1-19)
KXASYLUMCASES,New asylum cases,Politics,17,3,17.65,1,2,33.33,49531.77,LOW (1-19)
KXF1RACEPODIUM,F1 Race Podium Finisher,Sports,10,3,30.00,1,2,33.33,1637.87,LOW (1-19)
KXWOSSKATE,Winter Olympics Speed Skating,Sports,10,3,30.00,1,2,33.33,3113.77,LOW (1-19)
KXLLM1,Year-end top LLM,Science and Technology,16,3,18.75,1,2,33.33,20068.70,LOW (1-19)
KXSTARMERMENTION,Starmer mentions,Mentions,11,9,81.82,3,6,33.33,3505.80,LOW (1-19)
KXNFLRSHYDS,Pro Football player Rushing Yards,Sports,44,28,63.64,9,19,32.14,162.18,MEDIUM (20-49)
KXSURVIVORMENTION,Survivor Mention,Mentions,12,7,58.33,2,5,28.57,2783.17,LOW (1-19)
KXEURUSD,EUR/USD daily range,Financials,14,4,28.57,1,3,25.00,2182.25,LOW (1-19)
KXWTIW,WTI oil weekly range,Financials,14,4,28.57,1,3,25.00,2288.78,LOW (1-19)
KXNBA3D,Pro Basketball Triple Double,Sports,100,25,25.00,6,19,24.00,186.89,MEDIUM (20-49)
KXUFCMOF,UFC Method of Finish,Sports,10,9,90.00,2,7,22.22,85.93,LOW (1-19)
KXUFCMOV,UFC Method of Victory,Sports,22,21,95.45,2,19,9.52,298.60,MEDIUM (20-49)
KXSPOTIFYARTISTD,Daily US Spotify artist chart,Entertainment,14,1,7.14,0,1,0.00,822.50,LOW (1-19)
KXSPOTIFY2D,Daily US Spotify chart Runner-up,Entertainment,14,2,14.29,0,2,0.00,439.05,LOW (1-19)
KXSPOTIFYVIRALD,Daily US Viral Spotify chart,Entertainment,11,1,9.09,0,1,0.00,771.80,LOW (1-19)
KXSPOTIFYGLOBALD,Daily Global Spotify songs,Entertainment,14,5,35.71,0,5,0.00,914.78,LOW (1-19)
KXSURVIVORELIMINATION,WHO WILL BE ELIMINATED FROM SURVIVOR,Entertainment,11,2,18.18,0,2,0.00,3152.50,LOW (1-19)
KXU3,Unemployment,Economics,24,1,4.17,0,1,0.00,92.50,LOW (1-19)
KXJOBLESSCLAIMS,Weekly initial jobless claims,Economics,22,2,9.09,0,2,0.00,3043.90,LOW (1-19)
KXFEAR,Fear and Greed index,Economics,18,2,11.11,0,2,0.00,4232.00,LOW (1-19)
KXFLIGHTLAX,Los Angeles International Airport total delays and cancellations,World,52,4,7.69,0,4,0.00,1079.67,LOW (1-19)
KXTNOTEW,Treasury 10Y weekly yield,Financials,14,6,42.86,0,6,0.00,5942.75,LOW (1-19)
KX538APPROVEMAX,Biden 538 highest approval rating,Politics,22,2,9.09,0,2,0.00,36741.40,LOW (1-19)
KXMVENFLMULTIGAMEEXTENDED,MVE NFL Multi Game Extended,Sports,85,2,2.35,0,2,0.00,62.05,LOW (1-19)
KXNHLPTS,Pro Hockey Points,Sports,67,1,1.49,0,1,0.00,153.80,LOW (1-19)
KXWOLUGE,Winter Olympics Luge,Sports,10,3,30.00,0,3,0.00,3298.43,LOW (1-19)
KXMVEGRAMMYS,MVE NFL Grammys,Sports,40,1,2.50,0,1,0.00,872.40,LOW (1-19)
KXNFLANYTD,Pro Football Anytime Touchdown,Sports,13,2,15.38,0,2,0.00,172.35,LOW (1-19)
KXNFLTEAMTOTAL,Pro Football Team Total Points,Sports,12,4,33.33,0,4,0.00,2149.65,LOW (1-19)
KXMVENFLSINGLEGAME,MVE NFL Single Game,Sports,100,1,1.00,0,1,0.00,64.60,LOW (1-19)
KXHIGHTSEA,Seattle Maximum Temperature Daily,Climate and Weather,28,2,7.14,0,2,0.00,573.25,LOW (1-19)
KXTSAW,TSA check-ins this week,Science and Technology,10,1,10.00,0,1,0.00,7423.40,LOW (1-19)
